trecho;sequencia;lat;long;numero_poste;tipo_poste;estrutura_mt;estrutura_bt;poste;base
T1;0;-17,041935;-49,224541;2255555;EXISTENTE;U3;;EXIST;BE
T1;1;-17,042062;-49,224292;;;;;;
T1;2;-17,042350;-49,223727;;;;;;
T1;3;-17,042637;-49,223162;;;;;;
T1;4;-17,042925;-49,222597;;;;;;
T1;5;-17,043213;-49,222032;;;;;;
T1;6;-17,043500;-49,221467;;;;;;
T1;7;-17,043788;-49,220902;;;;;;
T1;8;-17,044076;-49,220337;;;;;;
T1;9;-17,044363;-49,219772;;;;;;
T1;10;-17,044651;-49,219207;;;;;;
T1;11;-17,044939;-49,218642;;;;;;
T1;12;-17,045226;-49,218077;;;;;;
T1;13;-17,045514;-49,217512;;;;;;
T1;14;-17,047802;-49,214406;;;;;;
T1;15;-17,047725;-49,213698;;;;;;
T1;16;-17,046803;-49,213231;;;;;;
