trecho	sequencia	lat	long	numero_poste	tipo_poste	estrutura_mt	estrutura_bt	poste	base
T1	0	-17,041935	-49,224541	2255555	EXISTENTE	U3		EXIST	BE
T1	1	-17,04206183	-49,22429193			PDT10/300	UP1		BS
T1	2	-17,04234952	-49,22372695			PDT10/300	UP1		BS
T1	3	-17,0426372	-49,22316196			PDT10/300	UP1		BS
T1	4	-17,04292489	-49,22259697			PDT10/300	UP1		BS
T1	5	-17,04321258	-49,22203198			PDT10/300	UP1		BS
T1	6	-17,04350026	-49,22146699			PDT10/300	UP1		BS
T1	7	-17,04378794	-49,220902			PDT10/300	UP1		BS
T1	8	-17,04407562	-49,220337			PDT10/300	UP1		BS
T1	9	-17,0443633	-49,21977201			PDT10/300	UP1		BS
T1	10	-17,04465098	-49,21920701			PDT10/300	UP1		BS
T1	11	-17,04493865	-49,21864201			PDT10/300	UP1		BS
T1	12	-17,04522633	-49,218077			PDT10/300	UP1		BS
T1	13	-17,045514	-49,217512			UP4		PDT10/1000	BC
T1	14	-17,047802	-49,214406			ESTRUTURA_MT	ESTRUTURA_BT	PADRAO	BASE_PADRAO
T1	15	-17,047725	-49,213698			ESTRUTURA_MT	ESTRUTURA_BT	PADRAO	BASE_PADRAO
T1	16	-17,047264	-49,2134645			PDT10/300	UP1		BS
T1	17	-17,046803	-49,213231			U3		PDT10/600	BC
