sequencia;status;lat;long;num_poste;tipo_poste;estru_mt_nv1;estru_mt_nv2;estru_mt_nv3;est_bt_nv1;est_bt_nv2;estai_ancora;base_reforcada;base_concreto;aterr_neutro;chave;trafo;equipamento;faixa;cort_arvores_isol;adiconal_1;qdt_adic_1;adiconal_2;qdt_adic_2;adiconal_3;qdt_adic_3;adiconal_4;qdt_adic_4;adiconal_5;qdt_adic_5;adiconal_6;qdt_adic_6;adiconal_7;qdt_adic_7;rotacao_poste;modulo;municipio
0;implantar;-17,113629731;-49,117674110;;EXIST;U3;;;;;;;BC;;;;;;;;;;;;;;;;;;;;;TOPOMAIOR;10104;
0;existente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;retirar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;deslocar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;implantar;-17,113615454;-49,117392210;;PDT10/600;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;;ZIRTECIB;10104;
1;existente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;retirar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;deslocar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;implantar;-17,113583770;-49,116766633;;PDT10/300;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;;BICETRIZ;10104;
2;existente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;retirar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;deslocar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;implantar;-17,113552085;-49,116141057;;PDT10/300;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;;BICETRIZ;10104;
3;existente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;retirar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;deslocar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;implantar;-17,113520398;-49,115515481;;PDT10/300;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;;BICETRIZ;10104;
4;existente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;retirar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;deslocar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;implantar;-17,113488708;-49,114889905;;PDT10/300;UP1;;;;;;;;;;;;;;;;;;;;;;;;;;;;BICETRIZ;10104;
5;existente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;retirar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;deslocar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;implantar;-17,113457017;-49,114264329;;PDT10/600;UP4;;;;;;;BC;;;;;;;;;;;;;;;;;;;;;ZIRTECIB;10104;
6;existente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
