trecho;sequencia;lat;long;numero_poste;tipo_poste;estrutura_mt;estrutura_bt;poste;base
T1;0;-17,041935000;-49,224541000;2255555;EXISTENTE;U3;;EXIST;BE
T1;1;-17,042061825;-49,224291934;;;UP1;;PDT10/300;BS
T1;2;-17,042349515;-49,223726949;;;UP1;;PDT10/300;BS
T1;3;-17,042637203;-49,223161963;;;UP1;;PDT10/300;BS
T1;4;-17,042924890;-49,222596974;;;UP1;;PDT10/300;BS
T1;5;-17,043212575;-49,222031984;;;UP1;;PDT10/300;BS
T1;6;-17,043500258;-49,221466992;;;UP1;;PDT10/300;BS
T1;7;-17,043787941;-49,220901998;;;UP1;;PDT10/300;BS
T1;8;-17,044075621;-49,220337003;;;UP1;;PDT10/300;BS
T1;9;-17,044363300;-49,219772006;;;UP1;;PDT10/300;BS
T1;10;-17,044650977;-49,219207007;;;UP1;;PDT10/300;BS
T1;11;-17,044938653;-49,218642006;;;UP1;;PDT10/300;BS
T1;12;-17,045226327;-49,218077004;;;UP1;;PDT10/300;BS
T1;13;-17,045514000;-49,217512000;;;UP4;;PDT10/1000;BC
T1;14;-17,047802000;-49,214406000;;;UP4;;PDT10/1000;BC
T1;15;-17,047725000;-49,213698000;;;UP4;;PDT10/1000;BC
T1;16;-17,046803000;-49,213231000;;;UP1;;PDT10/300;BS
T1;17;-17,046247500;-49,213001499;;;UP1;;PDT10/300;BS
T1;18;-17,045692000;-49,212772000;;;UP4;;PDT10/600;BC
T1;19;-17,045072667;-49,212862667;;;UP1;;PDT10/300;BS
T1;20;-17,044453333;-49,212953334;;;UP1;;PDT10/300;BS
T1;21;-17,043834000;-49,213044000;;;UP1;;PDT10/300;BS
T1;22;-17,043305000;-49,213279335;;;UP1;;PDT10/300;BS
T1;23;-17,042776000;-49,213514668;;;UP1;;PDT10/300;BS
T1;24;-17,042247000;-49,213750000;;;UP1;;PDT10/300;BS
T1;25;-17,041671250;-49,213853877;;;UP1;;PDT10/300;BS
T1;26;-17,041095500;-49,213957754;;;UP1;;PDT10/300;BS
T1;27;-17,040519750;-49,214061630;;;UP1;;PDT10/300;BS
T1;28;-17,039944000;-49,214165505;;;UP1;;PDT10/300;BS
T1;29;-17,039368250;-49,214269380;;;UP1;;PDT10/300;BS
T1;30;-17,038792500;-49,214373254;;;UP1;;PDT10/300;BS
T1;31;-17,038216750;-49,214477127;;;UP1;;PDT10/300;BS
T1;32;-17,037641000;-49,214581000;;;UP4;;PDT10/600;BC
T1;33;-17,037403003;-49,215145803;;;UP1;;PDT10/300;BS
T1;34;-17,037165005;-49,215710604;;;UP1;;PDT10/300;BS
T1;35;-17,036927005;-49,216275404;;;UP1;;PDT10/300;BS
T1;36;-17,036689003;-49,216840203;;;UP1;;PDT10/300;BS
T1;37;-17,036451000;-49,217405000;;;U3;;PDT10/600;BC
